DNS Resolver Log Started: 2025-10-26T15:38:47.507270
{'step_of_resolution': 'Root', 'response_or_referral': 'No authority section for delegation', 'domain_name': 'wpad', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2558s', 'timestamp': '2025-10-26T15:38:55.963412', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'ns41.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.1992s', 'timestamp': '2025-10-26T15:40:46.049176', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2027s', 'timestamp': '2025-10-26T15:40:46.456380', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.1983s', 'timestamp': '2025-10-26T15:40:46.869052', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.4046s', 'timestamp': '2025-10-26T15:40:47.583139', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2183s', 'timestamp': '2025-10-26T15:40:48.121365', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.1958s', 'timestamp': '2025-10-26T15:40:48.608123', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2429s', 'timestamp': '2025-10-26T15:40:49.122836', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.3027s', 'timestamp': '2025-10-26T15:40:49.736563', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2050s', 'timestamp': '2025-10-26T15:40:50.145063', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.3222s', 'timestamp': '2025-10-26T15:40:50.681532', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.2649s', 'timestamp': '2025-10-26T15:40:50.959918', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.1894s', 'timestamp': '2025-10-26T15:40:50.348729', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.1825s', 'timestamp': '2025-10-26T15:40:49.934188', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.2870s', 'timestamp': '2025-10-26T15:40:49.424927', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.2514s', 'timestamp': '2025-10-26T15:40:48.872630', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.2620s', 'timestamp': '2025-10-26T15:40:48.401322', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.2933s', 'timestamp': '2025-10-26T15:40:47.891318', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.2912s', 'timestamp': '2025-10-26T15:40:47.171582', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.1950s', 'timestamp': '2025-10-26T15:40:46.661894', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'domain_name': 'ns41.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.1876s', 'timestamp': '2025-10-26T15:40:46.248404', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Failed to resolve next NS IP: ns41.domaincontrol.com.', 'domain_name': 'simternet.com', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.2815s', 'timestamp': '2025-10-26T15:40:45.837908', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: a.dns.ripn.net. @ Glue IP: 193.232.128.6', 'domain_name': 'khsm.ru', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.1891s', 'timestamp': '2025-10-26T15:40:51.166632', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: b0.info.afilias-nst.org. @ Glue IP: 199.254.48.1', 'domain_name': 'ns2.frienddns.info.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.1974s', 'timestamp': '2025-10-26T15:40:51.623841', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Delegation to: ns4.frienddns.net. @ Glue IP: 5.61.43.162', 'domain_name': 'ns2.frienddns.info.', 'cache_status': 'MISS', 'dns_server_ip': '199.254.48.1', 'round_trip_time': '0.2478s', 'timestamp': '2025-10-26T15:40:51.882844', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Authoritative', 'response_or_referral': 'Answer: 5.61.43.162', 'domain_name': 'ns2.frienddns.info.', 'cache_status': 'MISS', 'dns_server_ip': '5.61.43.162', 'round_trip_time': '0.2706s', 'timestamp': '2025-10-26T15:40:52.162729', 'resolution_mode': 'Iterative (Resolved)', 'total_time_to_resolution': '0.7463s'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Timeout or invalid response', 'domain_name': 'khsm.ru', 'cache_status': 'MISS', 'dns_server_ip': '193.232.128.6', 'round_trip_time': '0.2372s', 'timestamp': '2025-10-26T15:40:51.415871', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Authoritative', 'response_or_referral': 'Answer: 91.247.37.5', 'domain_name': 'khsm.ru', 'cache_status': 'MISS', 'dns_server_ip': '5.61.43.162', 'round_trip_time': '0.2204s', 'timestamp': '2025-10-26T15:40:52.390213', 'resolution_mode': 'Iterative (Resolved)', 'total_time_to_resolution': '1.4131s'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'livelinks.com', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2683s', 'timestamp': '2025-10-26T15:40:52.710988', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Delegation to: ns-368.awsdns-46.com. @ Glue IP: 205.251.193.112', 'domain_name': 'livelinks.com', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.2851s', 'timestamp': '2025-10-26T15:40:53.009214', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Authoritative', 'response_or_referral': 'Answer: 108.156.60.60', 'domain_name': 'livelinks.com', 'cache_status': 'MISS', 'dns_server_ip': '205.251.193.112', 'round_trip_time': '0.2985s', 'timestamp': '2025-10-26T15:40:53.314668', 'resolution_mode': 'Iterative (Resolved)', 'total_time_to_resolution': '0.8736s'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: ns10.trs-dns.org. @ Glue IP: 64.78.205.1', 'domain_name': 'jantv.in', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2483s', 'timestamp': '2025-10-26T15:40:53.623941', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'cora.ns.cloudflare.com.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2021s', 'timestamp': '2025-10-26T15:40:54.035509', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Delegation to: ns3.cloudflare.com. @ Glue IP: 162.159.0.33', 'domain_name': 'cora.ns.cloudflare.com.', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.2921s', 'timestamp': '2025-10-26T15:40:54.343427', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Authoritative', 'response_or_referral': 'Answer: 162.159.38.195', 'domain_name': 'cora.ns.cloudflare.com.', 'cache_status': 'MISS', 'dns_server_ip': '162.159.0.33', 'round_trip_time': '0.2895s', 'timestamp': '2025-10-26T15:40:54.646099', 'resolution_mode': 'Iterative (Resolved)', 'total_time_to_resolution': '0.8220s'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Timeout or invalid response', 'domain_name': 'jantv.in', 'cache_status': 'MISS', 'dns_server_ip': '64.78.205.1', 'round_trip_time': '0.1918s', 'timestamp': '2025-10-26T15:40:53.824244', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Authoritative', 'response_or_referral': 'Answer: 188.114.96.4', 'domain_name': 'jantv.in', 'cache_status': 'MISS', 'dns_server_ip': '162.159.38.195', 'round_trip_time': '0.2970s', 'timestamp': '2025-10-26T15:40:54.951933', 'resolution_mode': 'Iterative (Resolved)', 'total_time_to_resolution': '1.5767s'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'hornil.com', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2623s', 'timestamp': '2025-10-26T15:40:55.264740', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Delegation to: ns2.cafe24.com. @ Glue IP: 1.226.85.4', 'domain_name': 'hornil.com', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.2914s', 'timestamp': '2025-10-26T15:40:55.571158', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Authoritative', 'response_or_referral': 'Answer: 183.111.138.226', 'domain_name': 'hornil.com', 'cache_status': 'MISS', 'dns_server_ip': '1.226.85.4', 'round_trip_time': '0.4945s', 'timestamp': '2025-10-26T15:40:56.078889', 'resolution_mode': 'Iterative (Resolved)', 'total_time_to_resolution': '1.0768s'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': '7dfps.com', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2623s', 'timestamp': '2025-10-26T15:40:56.393582', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Delegation to: nelci.ns.cloudflare.com. @ Glue IP: 108.162.194.152', 'domain_name': '7dfps.com', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.2863s', 'timestamp': '2025-10-26T15:40:56.694400', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Authoritative', 'response_or_referral': 'Answer: 188.114.96.0', 'domain_name': '7dfps.com', 'cache_status': 'MISS', 'dns_server_ip': '108.162.194.152', 'round_trip_time': '0.1909s', 'timestamp': '2025-10-26T15:40:56.897354', 'resolution_mode': 'Iterative (Resolved)', 'total_time_to_resolution': '0.7665s'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'luckypuppygames.com', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2670s', 'timestamp': '2025-10-26T15:40:57.218618', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Delegation to: ns1.parklogic.com. @ Glue IP: 185.67.45.231', 'domain_name': 'luckypuppygames.com', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.1875s', 'timestamp': '2025-10-26T15:40:57.423882', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Authoritative', 'response_or_referral': 'Answer: 172.237.146.25', 'domain_name': 'luckypuppygames.com', 'cache_status': 'MISS', 'dns_server_ip': '185.67.45.231', 'round_trip_time': '0.1919s', 'timestamp': '2025-10-26T15:40:57.631074', 'resolution_mode': 'Iterative (Resolved)', 'total_time_to_resolution': '0.6810s'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'b-matrix.com', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2466s', 'timestamp': '2025-10-26T15:40:57.928989', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'ns55.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.1998s', 'timestamp': '2025-10-26T15:40:58.337011', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2010s', 'timestamp': '2025-10-26T15:40:58.747766', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2008s', 'timestamp': '2025-10-26T15:40:59.259605', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2026s', 'timestamp': '2025-10-26T15:40:59.770351', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.3069s', 'timestamp': '2025-10-26T15:41:00.389347', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.1957s', 'timestamp': '2025-10-26T15:41:00.894620', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
