DNS Resolver Log Started: 2025-10-26T15:48:39.237830
{'response_or_referral': 'No authority section for delegation', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:48:49.790988', 'round_trip_time': '0.2284s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'wpad', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:33.117231', 'round_trip_time': '0.2988s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:33.735280', 'round_trip_time': '0.3065s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:34.245770', 'round_trip_time': '0.1993s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:34.858805', 'round_trip_time': '0.2760s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:35.476359', 'round_trip_time': '0.2985s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:35.882888', 'round_trip_time': '0.1936s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:50:36.086194', 'round_trip_time': '0.1877s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:50:35.684082', 'round_trip_time': '0.1969s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:50:35.166937', 'round_trip_time': '0.2947s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:50:34.547541', 'round_trip_time': '0.2868s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:50:34.035336', 'round_trip_time': '0.2856s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:50:33.422103', 'round_trip_time': '0.2899s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:50:32.807328', 'round_trip_time': '0.2919s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:50:32.193357', 'round_trip_time': '0.2860s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:50:31.680009', 'round_trip_time': '0.2854s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:50:31.065428', 'round_trip_time': '0.2869s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'ns05.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: ns05.domaincontrol.com.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:50:30.540475', 'round_trip_time': '0.2773s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'gregginn.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:36.394977', 'round_trip_time': '0.2791s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'arcoat.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: ns0.ns0.com. @ Glue IP: 216.92.55.21', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:36.610208', 'round_trip_time': '0.2039s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'arcoat.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Answer: 66.39.19.55', 'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'timestamp': '2025-10-26T15:50:36.901118', 'round_trip_time': '0.2850s', 'total_time_to_resolution': '0.7856s', 'dns_server_ip': '216.92.55.21', 'domain_name': 'arcoat.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:37.216544', 'round_trip_time': '0.2472s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'cushinglawoffices.com', 'cache_status': 'MISS'}
{'response_or_referral': 'No authority section for delegation', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:50:37.416928', 'round_trip_time': '0.1869s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'cushinglawoffices.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:37.676037', 'round_trip_time': '0.1992s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'eggcityradio.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: b.gtld.biz. @ Glue IP: 156.154.125.65', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:38.135741', 'round_trip_time': '0.2083s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'domain-may-be-for-sale-at.edoms.biz.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: domain-may-be-for-sale-at.edoms.biz. @ Glue IP: 70.32.1.32', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:38.442909', 'round_trip_time': '0.2924s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '156.154.125.65', 'domain_name': 'domain-may-be-for-sale-at.edoms.biz.', 'cache_status': 'MISS'}
{'response_or_referral': 'Timeout or invalid response', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Query Failed)', 'timestamp': '2025-10-26T15:50:40.462891', 'round_trip_time': '2.0066s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '70.32.1.32', 'domain_name': 'domain-may-be-for-sale-at.edoms.biz.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: domain-may-be-for-sale-at.edoms.biz.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:50:37.924477', 'round_trip_time': '0.2380s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'eggcityradio.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: a2.org.afilias-nst.info. @ Glue IP: 199.249.112.1', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:40.799808', 'round_trip_time': '0.2787s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'michaelbyers.org', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:41.311368', 'round_trip_time': '0.2038s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'ns40.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:41.824589', 'round_trip_time': '0.2023s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:42.336143', 'round_trip_time': '0.3010s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:42.846169', 'round_trip_time': '0.1929s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:43.466893', 'round_trip_time': '0.2032s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:43.972722', 'round_trip_time': '0.1965s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:44.589021', 'round_trip_time': '0.3050s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:45.103294', 'round_trip_time': '0.2029s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:45.711088', 'round_trip_time': '0.3026s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:46.124681', 'round_trip_time': '0.2034s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:50:46.426866', 'round_trip_time': '0.2885s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:50:45.914498', 'round_trip_time': '0.1939s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:50:45.401286', 'round_trip_time': '0.2838s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:50:44.891267', 'round_trip_time': '0.2900s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:50:44.276304', 'round_trip_time': '0.2915s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:50:43.765034', 'round_trip_time': '0.2780s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:50:43.252456', 'round_trip_time': '0.3950s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:50:42.637338', 'round_trip_time': '0.2871s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:50:42.026173', 'round_trip_time': '0.1871s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:50:41.615079', 'round_trip_time': '0.2902s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'ns40.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: ns40.domaincontrol.com.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:50:41.101117', 'round_trip_time': '0.2891s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '199.249.112.1', 'domain_name': 'michaelbyers.org', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: a.dns.ripn.net. @ Glue IP: 193.232.128.6', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:46.704739', 'round_trip_time': '0.2620s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'stkpro.ru', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: ns2.spincrus.RU. @ Glue IP: 205.251.145.92', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:47.039785', 'round_trip_time': '0.3272s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '193.232.128.6', 'domain_name': 'stkpro.ru', 'cache_status': 'MISS'}
